alg,quality,p,dataset,kind,order,bpbit,H_p,gap_abs,gap_pct
brotli,10,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,0.602501,0.468996,0.133505,28.47
brotli,10,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,0.999215,0.721928,0.277287,38.41
brotli,10,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,1.001227,0.881291,0.119936,13.61
brotli,10,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,1.001932,0.970951,0.030981,3.19
brotli,10,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,1.001550,1.000000,0.001550,0.16
brotli,10,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,1.001901,0.970951,0.030950,3.19
brotli,10,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,0.999388,0.721928,0.277460,38.43
brotli,10,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,0.602489,0.468996,0.133493,28.46
brotli,10,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.375061,0.286397,0.088664,30.96
brotli,10,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.150248,0.080793,0.069455,85.97
brotli,11,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.121072,0.080793,0.040279,49.85
brotli,11,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.350853,0.286397,0.064456,22.51
brotli,11,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,0.565049,0.468996,0.096053,20.48
brotli,11,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,0.859163,0.721928,0.137235,19.01
brotli,11,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,1.001114,0.881291,0.119823,13.60
brotli,11,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,1.000258,0.970951,0.029307,3.02
brotli,11,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,1.000221,1.000000,0.000221,0.02
brotli,11,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,1.000267,0.970951,0.029317,3.02
brotli,11,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,0.858425,0.721928,0.136497,18.91
brotli,11,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,0.565275,0.468996,0.096280,20.53
brotli,11,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.350846,0.286397,0.064449,22.50
brotli,11,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.121199,0.080793,0.040406,50.01
