alg,quality,p,dataset,kind,order,bpbit,H_p,gap_abs,gap_pct
lz4,15,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.162619,0.080793,0.081826,101.28
lz4,16,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.162398,0.080793,0.081604,101.00
lz4,16,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.546076,0.286397,0.259679,90.67
lz4,16,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,0.869886,0.468996,0.400891,85.48
lz4,16,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.240531,0.721928,0.518603,71.84
lz4,16,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,1.389673,0.881291,0.508382,57.69
lz4,16,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,1.451244,0.970951,0.480293,49.47
lz4,16,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,1.475189,1.000000,0.475189,47.52
lz4,16,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,1.451144,0.970951,0.480193,49.46
lz4,16,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,1.240446,0.721928,0.518518,71.82
lz4,16,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,0.870084,0.468996,0.401088,85.52
lz4,16,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.546178,0.286397,0.259781,90.71
lz4,16,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.162619,0.080793,0.081826,101.28
